version,1.3.0
info,team,Karachi Kings
info,team,Quetta Gladiators
info,gender,male
info,season,2016/17
info,date,2017/02/23
info,competition,Pakistan Super League
info,match_number,15
info,venue,Dubai International Cricket Stadium
info,city,
info,neutralvenue,true
info,toss_winner,Quetta Gladiators
info,toss_decision,field
info,player_of_match,Mahmudullah
info,umpire,Aleem Dar
info,umpire,REJ Martinesz
info,reserve_umpire,Mohammed Anees
info,tv_umpire,Ahsan Raza
info,match_referee,Shozab Raza
info,winner,Quetta Gladiators
info,winner_wickets,6
ball,1,0.1,Karachi Kings,Babar Azam,KC Sangakkara,Mir Hamza,1,0,"",""
ball,1,0.2,Karachi Kings,KC Sangakkara,Babar Azam,Mir Hamza,0,0,"",""
ball,1,0.3,Karachi Kings,KC Sangakkara,Babar Azam,Mir Hamza,1,0,"",""
ball,1,0.4,Karachi Kings,Babar Azam,KC Sangakkara,Mir Hamza,0,0,"",""
ball,1,0.5,Karachi Kings,Babar Azam,KC Sangakkara,Mir Hamza,0,1,"",""
ball,1,0.6,Karachi Kings,Babar Azam,KC Sangakkara,Mir Hamza,0,0,"",""
ball,1,0.7,Karachi Kings,Babar Azam,KC Sangakkara,Mir Hamza,1,0,"",""
ball,1,1.1,Karachi Kings,Babar Azam,KC Sangakkara,TS Mills,0,0,"",""
ball,1,1.2,Karachi Kings,Babar Azam,KC Sangakkara,TS Mills,0,0,"",""
ball,1,1.3,Karachi Kings,Babar Azam,KC Sangakkara,TS Mills,0,1,"",""
ball,1,1.4,Karachi Kings,Babar Azam,KC Sangakkara,TS Mills,4,0,"",""
ball,1,1.5,Karachi Kings,Babar Azam,KC Sangakkara,TS Mills,0,0,"",""
ball,1,1.6,Karachi Kings,Babar Azam,KC Sangakkara,TS Mills,1,0,"",""
ball,1,1.7,Karachi Kings,KC Sangakkara,Babar Azam,TS Mills,4,0,"",""
ball,1,2.1,Karachi Kings,Babar Azam,KC Sangakkara,Mir Hamza,0,0,"",""
ball,1,2.2,Karachi Kings,Babar Azam,KC Sangakkara,Mir Hamza,4,0,"",""
ball,1,2.3,Karachi Kings,Babar Azam,KC Sangakkara,Mir Hamza,0,0,"",""
ball,1,2.4,Karachi Kings,Babar Azam,KC Sangakkara,Mir Hamza,1,0,"",""
